"IdTarugo","IDPlot","DAP_cm","Competencia_Total","Elevation","Densidad"
"Larg-21","ValleLargo-01",38.9,-6.47381243701043,1000,1280
"Larg-18","ValleLargo-01",39,-6.3537415511884,1000,1280
"Larg-31","ValleLargo-01",40,-6.22187319955396,1000,1280
"Larg-24","ValleLargo-01",40.7,-5.95978033464109,1000,1280
"Larg-20","ValleLargo-01",43.8,-5.78853290449208,1000,1280
"Larg-27","ValleLargo-01",45.8,-5.60971030905709,1000,1280
"Larg-25","ValleLargo-01",54,-5.3164143605106,1000,1280
"Larg-19","ValleLargo-01",55.5,-5.0615919263963,1000,1280
"Larg-26","ValleLargo-01",65.5,-4.62960330157362,1000,1280
"Larg-01","ValleLargo-01",70.5,-4.18583370429998,1000,1280
"Larg-30","ValleLargo-01",75,-3.69262329264046,1000,1280
"Larg-45","ValleLargo-02",20,-6.948430903346,990,1100
"Larg-66","ValleLargo-02",20.3,-6.91511588405101,990,1100
"Larg-56","ValleLargo-02",21.8,-6.87283083233185,990,1100
"Larg-55","ValleLargo-02",22.2,-6.8327409684794,990,1100
"Larg-54","ValleLargo-02",22.4,-6.79263225507101,990,1100
"Larg-61","ValleLargo-02",22.5,-6.71275804725166,990,1100
"Larg-62","ValleLargo-02",22.5,-6.71275804725166,990,1100
"Larg-60","ValleLargo-02",22.8,-6.67086255302155,990,1100
"Larg-68","ValleLargo-02",23,-6.62859556546015,990,1100
"Larg-59","ValleLargo-02",23.8,-6.53667884760142,990,1100
"Larg-64","ValleLargo-02",23.8,-6.53667884760142,990,1100
"Larg-57","ValleLargo-02",26,-6.47498110947757,990,1100
"Larg-53","ValleLargo-02",27.8,-6.40667660200322,990,1100
"Larg-50","ValleLargo-02",28,-6.34422488164251,990,1100
"Larg-52","ValleLargo-02",28.7,-6.2764151750111,990,1100
"Larg-47","ValleLargo-02",28.9,-6.20991315632175,990,1100
"Larg-49","ValleLargo-02",29.5,-6.13881184598754,990,1100
"Larg-63","ValleLargo-02",32.8,-6.0381685691353,990,1100
"Larg-65","ValleLargo-02",34,-5.94108078976876,990,1100
"Larg-38","ValleLargo-02",35,-5.83945026742513,990,1100
"Larg-44","ValleLargo-02",35.9,-5.6342359375055,990,1100
"Larg-46","ValleLargo-02",36.3,-5.52847657701689,990,1100
"Larg-39","ValleLargo-02",37,-5.41692569047139,990,1100
"Larg-43","ValleLargo-02",40.9,-5.26168231869792,990,1100
"Larg-42","ValleLargo-02",45.8,-5.06356798817541,990,1100
"Larg-51","ValleLargo-02",58.2,-4.51829745925509,990,1100
"Larg-58","ValleLargo-02",63,-4.16088160464884,990,1100
"Larg-41","ValleLargo-02",67.6,-3.75478991346786,990,1100
"Larg-37","ValleLargo-02",72.6,-3.28576897984283,990,1100
"Larg-67","ValleLargo-02",45.3,-7.38723207183799,990,1100
